Transaction Date,Description,Debit,Credit
2026-01-03,WHOLE FOODS,182.50,
2026-01-07,STARBUCKS,14.80,
2026-01-09,AMAZON PURCHASE,67.99,
2026-01-12,CHIPOTLE,38.50,
2026-01-15,NETFLIX,15.99,
2026-01-18,TRADER JOES,143.20,
2026-01-22,DOCTOR COPAY,40.00,
2026-01-25,TARGET,92.15,
2026-01-28,ONLINE PAYMENT,,1100.00
2026-02-02,WHOLE FOODS,196.30,
2026-02-06,PANERA BREAD,22.40,
2026-02-11,AMAZON PURCHASE,54.99,
2026-02-14,SPOTIFY,11.99,
2026-02-17,TRADER JOES,158.90,
2026-02-20,SCHOOL SUPPLIES,35.00,
2026-02-24,PHARMACY CVS,28.50,
2026-02-25,ONLINE PAYMENT,,1100.00
